Date,Open,High,Low,Close,Adj Close,Volume
2014-03-07,1125.000000,1125.000000,1075.849976,1112.550049,952.709412,1061976
2014-03-10,1112.500000,1113.500000,1067.750000,1071.750000,917.771301,272024
2014-03-11,1074.099976,1088.569946,1062.000000,1075.030029,920.580078,201004
2014-03-12,1073.069946,1094.680054,1073.069946,1089.380005,932.868286,128850
2014-03-13,1077.500000,1100.750000,1069.000000,1076.719971,922.027283,170788
2014-03-14,1074.750000,1080.500000,1063.030029,1070.569946,916.760681,127604
2014-03-18,1069.849976,1075.000000,1055.000000,1061.280029,908.805542,153102
2014-03-19,1039.000000,1039.000000,1007.500000,1020.469971,873.858704,563434
2014-03-20,1019.500000,1060.500000,1007.349976,1053.949951,902.528320,408800
2014-03-21,1061.000000,1071.900024,1043.500000,1062.680054,910.004272,682958
2014-03-22,null,null,null,null,null,null
2014-03-24,1066.000000,1078.619995,1064.619995,1076.180054,921.564697,973286
2014-03-25,1074.849976,1086.000000,1065.000000,1072.849976,918.713135,160596
2014-03-26,1075.750000,1077.300049,1046.500000,1049.180054,898.443909,592608
2014-03-27,1050.000000,1056.099976,1033.349976,1047.430054,896.945374,217646
2014-03-28,1050.000000,1070.000000,1042.500000,1052.780029,901.526794,179600
2014-03-31,1052.500000,1067.969971,1041.550049,1064.119995,911.237427,186888
2014-04-01,1072.500000,1090.500000,1070.000000,1086.219971,930.162231,231464
2014-04-02,1089.900024,1100.000000,1081.000000,1085.819946,929.819702,182808
2014-04-03,1085.500000,1090.449951,1074.680054,1083.349976,927.704529,108080
2014-04-04,1085.500000,1093.000000,1065.750000,1069.780029,916.084351,138092
2014-04-07,1065.500000,1087.500000,1060.550049,1075.199951,920.725342,306634
2014-04-09,1079.500000,1080.030029,1052.500000,1067.449951,914.089050,265118
2014-04-10,1070.000000,1074.000000,1058.969971,1063.280029,910.518188,121562
2014-04-11,1062.900024,1087.000000,1050.569946,1081.849976,926.420288,207916
2014-04-15,1081.849976,1129.400024,1081.849976,1125.780029,964.038635,360516
2014-04-16,1135.000000,1135.000000,1092.500000,1097.500000,939.821716,296764
2014-04-17,1109.000000,1115.000000,1071.550049,1108.719971,949.429749,594404
2014-04-21,1112.500000,1121.000000,1106.430054,1110.250000,950.740051,134934
